Sentence|AE|Drug
We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.|prolonged myelosuppression|5-FU
We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.|severe mucositis|5-FU
This case suggests that BH-AC, a derivative of cytosine arabinoside (1-beta-D-arabinofuranosylcytosine) could be a cause of reversible encephalopathy syndrome.|encephalopathy syndrome|BH-AC
We report a case of reversible encephalopathy syndrome in a 16-year-old girl with acute myelogenous leukemia (AML), who is undergoing during consolidation chemotherapy composed of BH-AC (N4-behenoyl-1-beta-D-arabinofuranosyl cytosine) and idarubicin.|encephalopathy syndrome|BH-AC
We report a case of reversible encephalopathy syndrome in a 16-year-old girl with acute myelogenous leukemia (AML), who is undergoing during consolidation chemotherapy composed of BH-AC (N4-behenoyl-1-beta-D-arabinofuranosyl cytosine) and idarubicin.|encephalopathy syndrome|idarubicin
In one case, the readministration of riluzole was followed by the relapse of hepatitis.|hepatitis|riluzole
We report the cases of two patients who developed acute hepatitis after taking riluzole at the recommended dose (100 mg daily) for 7 and 4 weeks, respectively.|hepatitis|riluzole
Lupus-like syndrome caused by 5-aminosalicylic acid in patients with inflammatory bowel disease.|Lupus-like syndrome|5-aminosalicylic acid
Although the two local anesthetics usually do not cause methemoglobinemia, we suspect that the displacement of lidocaine from protein binding by bupivacaine, in combination with metabolic acidosis and treatment with other oxidants, was the reason for the development of methemoglobinemia.|methemoglobinemia|lidocaine
Methemoglobinemia after axillary block with bupivacaine and additional injection of lidocaine in the operative field.|Methemoglobinemia|bupivacaine
Methemoglobinemia after axillary block with bupivacaine and additional injection of lidocaine in the operative field.|Methemoglobinemia|lidocaine
We report a patient with chronic renal failure and ischemic heart disease who developed clinically significant methemoglobinemia after an axillary block with bupivacaine and additional injection of lidocaine in the operative field.|methemoglobinemia|bupivacaine
We report a patient with chronic renal failure and ischemic heart disease who developed clinically significant methemoglobinemia after an axillary block with bupivacaine and additional injection of lidocaine in the operative field.|methemoglobinemia|lidocaine
Detection of activated eosinophils in nasal polyps of an aspirin-induced asthma patient.|asthma|aspirin
An episode of subacute encephalopathy after the infusion of a moderate dose of methotrexate (1500 mg/m2) (MTX) is reported in a young adult with metastastic gastric cancer.|encephalopathy|methotrexate
We believe that this represents an unusual case of moderate-dose MTX-induced neurotoxicity in a patient with gastric cancer, which has not previously been reported.|neurotoxicity|MTX
We describe a life threatening side effect of acute epoprostenol infusion (pulmonary edema) in a patient with pulmonary hypertension associated with limited scleroderma and discuss its management and potential etiology.|pulmonary edema|epoprostenol
A 14-year-old girl with newly diagnosed SLE developed a pruritic bullous eruption while on prednisone.|pruritic bullous eruption|prednisone
Hydroxyurea-induced acute interstitial pneumonitis in a patient with essential thrombocythemia.|acute interstitial pneumonitis|Hydroxyurea
The clinical course suggests that the interstitial pneumonitis was induced by hydroxyurea.|interstitial pneumonitis|hydroxyurea
This is the first case of hydroxyurea-induced acute interstitial pneumonitis reported in the literature.|acute interstitial pneumonitis|hydroxyurea
Allergic and irritant contact dermatitis to calcipotriol.|irritant contact dermatitis|calcipotriol
Calcipotriol (Daivonex R; Leo Pharmaceuticals, Zurich, Switzerland) may cause irritation of the skin, whereas allergic reactions are less common.|allergic reactions|Calcipotriol
Calcipotriol (Daivonex R; Leo Pharmaceuticals, Zurich, Switzerland) may cause irritation of the skin, whereas allergic reactions are less common.|irritation of the skin|Calcipotriol
The present observation suggests, that a batch of different testing doses, including lower testing doses may help to differentiate between an allergic type of contact dermatitis and an irritant type of reaction after treatment with calcipotriol.|irritant type of reaction|calcipotriol
Myotonia associated with sarcoidosis: marked exacerbation with pravastatin.|Myotonia|pravastatin
Pravastatin is associated with myotonia in animals.|myotonia|Pravastatin
This case suggests that sarcoidosis and pravastatin, two entities not frequently associated with myotonia, may interact in a synergistic manner to produce severe clinical myotonia in humans.|myotonia|pravastatin
Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.|angioedema|aspirin
Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.|systemic anaphylactoid reaction|aspirin
Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.|urticaria|aspirin
CONCLUSION: Fixed drug eruption is associated with many drugs but this is the first such report with omeprazole.|eruption|omeprazole
Fixed drug eruption in hands caused by omeprazole.|eruption|omeprazole
The objective of this report is to describe a case of fixed drug eruption that occurred during omeprazole treatment.|eruption|omeprazole
A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.|diffuse erythema|salazosulfapyridine
A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.|fever up to 39 degrees C|salazosulfapyridine
A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.|malaise|salazosulfapyridine
A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.|pustules|salazosulfapyridine
Acute generalized exanthematous pustulosis induced by salazosulfapyridine in a patient with ulcerative colitis.|Acute generalized exanthematous pustulosis|salazosulfapyridine
We report a case of acute generalized exanthematous pustulosis (AGEP) induced by salazosulfapyridine in a patient with ulcerative colitis.|acute generalized exanthematous pustulosis|salazosulfapyridine
CASE SUMMARY: A 39-year-old white Jewish schizophrenic man treated with olanzapine developed an elevated serum CK concentration with a peak concentration of 4000 IU/L (normal < 230).|elevated serum CK concentration|olanzapine
DISCUSSION: Olanzapine, like other atypical antipsychotic drugs, may cause muscle injury with concomitant elevations of serum CK of muscle origin.|muscle injury with concomitant elevations of serum CK|Olanzapine
Marked elevation of serum creatine kinase associated with olanzapine therapy.|elevation of serum creatine kinase|olanzapine
OBJECTIVE: To report a case of marked elevation of serum creatine kinase (CK) associated with olanzapine therapy.|elevation of serum creatine kinase|olanzapine
Diclofenac-associated hepatitis.|hepatitis|Diclofenac
This patient, who had a history of osteoarthritis, had severe hepatitis 5 weeks after being started on diclofenac for increasing pain in the joints.|hepatitis|diclofenac
2-CdA induces lymphocytopenia, which may explain the improvement in this patient's psoriasis.|lymphocytopenia|2-CdA
One case of priapism occurred during heparin therapy for a previous surgical operation to the knee is reported.|priapism|heparin
Priapism as a complication of heparin therapy.|Priapism|heparin
The association between heparin and priapism is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect.|abnormal platelet aggregation|heparin
The association between heparin and priapism is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect.|priapism|heparin
It carries a well-known risk of neutropenia and agranulocytosis, which necessitates the immediate discontinuation of clozapine.|agranulocytosis|clozapine
It carries a well-known risk of neutropenia and agranulocytosis, which necessitates the immediate discontinuation of clozapine.|neutropenia|clozapine
OBJECTIVE: We report a patient who developed neutropenia on clozapine, but behind the cell count decrease showed to be a diurnal variation of the white blood cells (WBC).|diurnal variation of the white blood cells|clozapine
Acute neutrophilic dermatosis induced by all-trans-retinoic acid treatment for acute promyelocytic leukemia.|Acute neutrophilic dermatosis|all-trans-retinoic acid
Findings on discontinuation and rechallenge supported the assumption that the hair loss was a side effect of the paroxetine.|hair loss|paroxetine
Hair loss associated with paroxetine treatment: a case report.|Hair loss|paroxetine
We report on a 37-year-old female who complained of moderate hair loss during paroxetine treatment.|hair loss|paroxetine
CONCLUSION: Patients with insulin allergy may not have complete resolution of their symptoms after standard desensitization, particularly those patients with concomitant protamine allergy.|protamine allergy|insulin
METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.|angioedema|insulin
METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.|angioedema|insulin
METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.|severe urticaria|insulin
METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.|severe urticaria|insulin
METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.|wheezing|insulin
METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.|wheezing|insulin
OBJECTIVE: The purpose of this study was to determine whether desensitization to NPH insulin, as well as standard insulin desensitization, could control allergic symptoms in a patient allergic to both NPH and regular insulin.|allergic symptoms|insulin
OBJECTIVE: The purpose of this study was to determine whether desensitization to NPH insulin, as well as standard insulin desensitization, could control allergic symptoms in a patient allergic to both NPH and regular insulin.|allergic symptoms|NPH insulin
Patients receiving neutral protamine Hagedorn (NPH) insulin are at increased risk for the development of protamine hypersensitivity.|protamine hypersensitivity|neutral protamine Hagedorn (NPH) insulin
Protamine allergy as a complication of insulin hypersensitivity: A case report.|Protamine allergy|insulin
She continued to receive regular insulin 4 times per day over the following 3 years with only occasional hives.|hives|insulin
The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.|angioedema|insulin
The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.|angioedema|NPH
The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.|urticaria|insulin
The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.|urticaria|NPH
A 5-month-old infant became lethargic and poorly responsive after receiving 1 drop of brimonidine in each eye.|lethargic|brimonidine
A 5-month-old infant became lethargic and poorly responsive after receiving 1 drop of brimonidine in each eye.|poorly responsive|brimonidine
An 11-day-old infant became lethargic and apneic after a single drop of brimonidine.|apneic|brimonidine
An 11-day-old infant became lethargic and apneic after a single drop of brimonidine.|lethargic|brimonidine
Apparent central nervous system depression in infants after the use of topical brimonidine.|central nervous system depression|brimonidine
CONCLUSIONS: Topical brimonidine may be associated with central nervous system depression in infants.|central nervous system depression|brimonidine
PURPOSE: To report two cases in which topical brimonidine resulted in apparent central nervous system depression and unresponsiveness in an infant.|central nervous system depression|brimonidine
Ceftriaxone was approved in 1997 for the treatment of otitis media despite previous studies that documented an association of ceftriaxone with elevated hepato-biliary enzymes and transient biliary stasis.|elevated hepato-biliary enzymes|ceftriaxone
Ceftriaxone was approved in 1997 for the treatment of otitis media despite previous studies that documented an association of ceftriaxone with elevated hepato-biliary enzymes and transient biliary stasis.|transient biliary stasis|ceftriaxone
Hepato-biliary abnormalities secondary to ceftriaxone use: a case report.|Hepato-biliary abnormalities|ceftriaxone
Anterior lumbosacral radiculopathy after intrathecal methotrexate treatment.|Anterior lumbosacral radiculopathy|methotrexate
Reported are three children who developed progressive paraparesis after intrathecal methotrexate administration followed by complete or partial recovery.|progressive paraparesis|methotrexate
During the first days of arsenic trioxide treatment a rapid decrease in the D-dimers was seen (normal values reached until day 7), together with a slight decrease in peripheral blood leukocytes.|decrease in the D-dimers|arsenic trioxide
During the first days of arsenic trioxide treatment a rapid decrease in the D-dimers was seen (normal values reached until day 7), together with a slight decrease in peripheral blood leukocytes.|slight decrease in peripheral blood leukocytes|arsenic trioxide
A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.|chills|minocycline
A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.|fatigue|minocycline
A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.|fever|minocycline
A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.|generalized, pruritic, macular eruption|minocycline
A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.|night sweats|minocycline
With the negative viral serologies, the clinical picture was most consistent with an infectious mononucleosis-like syndrome produced by the minocycline ingestion.|mononucleosis-like syndrome| minocycline
We conclude that the presence of this metabolic defect combined with topical 5-FU (a drug demonstrating a narrow therapeutic index) results in the unusual presentation of life-threatening toxicity after treatment with a topical drug.|life-threatening toxicity|5-FU
We now report the first known cancer patient who developed life-threatening complications after treatment with topical 5-FU and was shown subsequently to have profound DPD deficiency.|life-threatening complications|5-FU
An acute ischaemic event associated with the use of venlafaxine: a case report and proposed pathophysiological mechanisms.|acute ischaemic event|venlafaxine
The association of venlafaxine treatment with ischaemic events could be explained by its unique pharmacological and haemodynamic properties.|ischaemic events|venlafaxine
This is the first report of a possible association between an acute cardiovascular event and venlafaxine.|acute cardiovascular event|venlafaxine
We present a case of an elderly woman with a pre-existing history of ischaemic heart disease, who was treated with venlafaxine, and developed acute myocardial ischaemia within the first week of treatment.|acute myocardial ischaemia|venlafaxine
Apparent cyclophosphamide (cytoxan) embryopathy: a distinct phenotype?|embryopathy|cyclophosphamide
The purpose of this report is to document a new case of in utero CP exposure with multiple congenital anomalies and to establish an apparent CP embryopathy phenotype.|embryopathy|CP
The purpose of this report is to document a new case of in utero CP exposure with multiple congenital anomalies and to establish an apparent CP embryopathy phenotype.|multiple congenital anomalies|CP
The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.|blepharophimosis|cyclosposphamide
The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.|craniosynostosis|cyclosposphamide
The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.|developmental delay|cyclosposphamide
The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.|distal limb defects|cyclosposphamide
The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.|flat nasal bridge|cyclosposphamide
The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.|hypoplastic thumbs|cyclosposphamide
The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.|oligodactyly|cyclosposphamide
We conclude that (a) cyclophosphamide is a human teratogen, (b) a distinct phenotype exists, and (c) the safety of CP in pregnancy is in serious question.|human teratogen|cyclophosphamide
In all cases, seizures were controlled by withdrawal of phenytoin and reduction of drug levels.|seizures|phenytoin
Paradoxical seizures in phenytoin toxicity.|seizures|phenytoin
We present three patients with paradoxical seizures; their serum phenytoin levels were 43.5 mcg/mL, 46.5 mcg/mL and 38.3 mcg/mL.|seizures|phenytoin
CONCLUSIONS: This case suggests that losartan can induce late-onset angioedema in patients with normal renal function and that the reaction can recur after initial resolution of the symptoms.|angioedema|losartan
Losartan-induced angioedema.|angioedema|Losartan
OBJECTIVE: To report a case of angioedema associated with losartan administration.|angioedema|losartan
The incidence of angioedema secondary to losartan, an angiotensin II receptor antagonist, is unknown.|angioedema|losartan
We report the case of a female acromegalic patient in whom multiple hepatic adenomas appeared soon after danazol treatment for uterine fibromatosis.|hepatic adenomas|danazol
Heparin-induced thrombocytopenia is a rare and serious complication of anticoagulation therapy.|thrombocytopenia|Heparin
Pediatric heparin-induced thrombocytopenia: management with Danaparoid (orgaran).|thrombocytopenia|heparin
There remains a paucity of information pertaining to alternative anticoagulation strategies for use during cardiopulmonary bypass concomitant with heparin-induced thrombocytopenia, especially in children.|thrombocytopenia|heparin
We report the successful treatment of heparin-induced thrombocytopenia and subsequent hemorrhagic complications postoperatively in a 2-year-old child with Danaparoid (orgaran).|hemorrhagic complications|heparin
We report the successful treatment of heparin-induced thrombocytopenia and subsequent hemorrhagic complications postoperatively in a 2-year-old child with Danaparoid (orgaran).|thrombocytopenia|heparin
Taxane-induced glaucoma.|glaucoma|Taxane
We report a case of glaucoma induced by doxetaxel therapy for metastatic breast cancer.|glaucoma|doxetaxel
Acute hyperphosphatemia caused by sodium phosphate enema in a patient with liver dysfunction and chronic renal failure.|hyperphosphatemia|sodium phosphate
We report a case of acute hyperphosphatemia secondary to rectal administration of sodium phosphate and sodium biphosphate (Fleet enema).|hyperphosphatemia|sodium biphosphate
We report a case of acute hyperphosphatemia secondary to rectal administration of sodium phosphate and sodium biphosphate (Fleet enema).|hyperphosphatemia|sodium phosphate
Prolongation of the QT interval and ventricular tachyarrhymias have been described in patients on amiodarone therapy.|Prolongation of the QT interval|amiodarone
Prolongation of the QT interval and ventricular tachyarrhymias have been described in patients on amiodarone therapy.|ventricular tachyarrhymias|amiodarone
We report a case of recurrent torsades de pointes following treatment with pentavalent antimonial drugs and amiodarone.|torsades de pointes|amiodarone
Emphasis is given to the differentiation of diphenylhydantoin induced gingival hyperplasia from the angiomatous enlargement of the gingiva before any treatment is planned.|gingival hyperplasia|diphenylhydantoin
A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.|anemia|D-Pen
A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.|anemia|D-penicillamine
A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.|thrombocytopenia|D-Pen
A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.|thrombocytopenia|D-penicillamine
Cessation of D-Pen and the start of corticosteroid therapy were followed by recovery from bicytopenia.|bicytopenia|D-Pen
In vitro inhibition of hematopoiesis in a patient with systemic sclerosis treated with D-penicillamine.|inhibition of hematopoiesis|D-penicillamine
These findings suggest that bicytopenia in this patient was caused by D-Pen and may be due to different sensitivities in the hematopoietic lineage.|bicytopenia|D-Pen
A 48-year-old woman who was treated for thyrotoxicosis with methimazole developed agranulocytosis.|agranulocytosis|methimazole
Postoperative hypocalcemic tetany caused by fleet phospho-soda preparation in a patient taking alendronate sodium: report of a case.|hypocalcemic tetany|alendronate sodium
Postoperative hypocalcemic tetany caused by fleet phospho-soda preparation in a patient taking alendronate sodium: report of a case.|hypocalcemic tetany|fleet phospho-soda
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.|hypocalcemic tetany|alendronate
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.|hypocalcemic tetany|Fleet Phospho-Soda
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.|hypocalcemic tetany|Fosamax
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.|hypophosphatemia|alendronate
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.|hypophosphatemia|Fleet Phospho-Soda
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.|hypophosphatemia|Fosamax
Described here are 2 patients who developed thrombotic microangiopathy of the kidneys after receiving high cumulative doses of the new anticancer drug gemcitabine.|thrombotic microangiopathy|gemcitabine
Thrombotic microangiopathy with renal failure in two patients undergoing gemcitabine chemotherapy.|renal failure|gemcitabine
Thrombotic microangiopathy with renal failure in two patients undergoing gemcitabine chemotherapy.|Thrombotic microangiopathy|gemcitabine
The first patient was a 61-year-old man with a 30-year history of fistulizing CD in whom B-cell non-Hodgkin's lymphoma was diagnosed 9 months after treatment with infliximab.|B-cell non-Hodgkin's lymphoma|infliximab
The relationship between infliximab treatment and lymphoma in Crohn's disease.|lymphoma|infliximab
The second is a 29-year-old man with CD in whom nodular sclerosing Hodgkin's lymphoma was diagnosed 3 weeks after infusion with infliximab.|nodular sclerosing Hodgkin's lymphoma|infliximab
We describe the clinical course of 2 patients with Crohn's disease (CD) in whom lymphoma was diagnosed after treatment with infliximab.|lymphoma|infliximab
Codeine intoxication in the neonate.|Codeine intoxication|Codeine
We report a case of codeine intoxication in the neonate, in which the drug was prescribed for cough control during an emergency department visit.|codeine intoxication|codeine
Hydroxyurea (HU) and sodium phenylbutyrate (SPB) have been shown to increase fetal hemoglobin (Hb F) levels in patients with thalassemia intermedia.|increase fetal hemoglobin|Hydroxyurea
Hydroxyurea (HU) and sodium phenylbutyrate (SPB) have been shown to increase fetal hemoglobin (Hb F) levels in patients with thalassemia intermedia.|increase fetal hemoglobin|sodium phenylbutyrate
Of the four patients who responded to HU with an increase in total Hb, all reported symptomatic improvement and three have not required further transfusions.|increase in total Hb|HU
Prolonged responses were achieved with low doses of HU (3-10 mg/kg/day) and higher doses were associated with mild reversible hematologic or hepatic toxicity and no further increases in Hb.|hepatic toxicity|HU
Prolonged responses were achieved with low doses of HU (3-10 mg/kg/day) and higher doses were associated with mild reversible hematologic or hepatic toxicity and no further increases in Hb.|mild reversible hematologic|HU
Sodium phenylbutyrate was added to treatment with HU in two patients, but failed to produce an increase in total Hb despite increasing Hb F levels.|increasing Hb F|HU
Sodium phenylbutyrate was added to treatment with HU in two patients, but failed to produce an increase in total Hb despite increasing Hb F levels.|increasing Hb F|Sodium phenylbutyrate
We conclude that low-dose HU therapy in patients with thalassemia intermedia may increase total Hb levels sufficiently to eliminate the need for transfusions.|increase total Hb|HU
We describe the clinical response, as determined by increases in total Hb and decreased transfusion needs, in five patients with thalassemia intermedia treated with HU alone or in combination with SPB.|increases in total Hb|HU
We describe the clinical response, as determined by increases in total Hb and decreased transfusion needs, in five patients with thalassemia intermedia treated with HU alone or in combination with SPB.|increases in total Hb|SPB
A 36-y-o patient with schizophrenia, who had consumed gradually increasing quantities of oolong tea that eventually reached 15 L each day, became delirious and was admitted to a psychiatric hospital.|delirious|oolong tea
After abstinence from oolong tea his delirium resolved.|delirium|oolong tea
Severe rhabdomyolysis following massive ingestion of oolong tea: caffeine intoxication with coexisting hyponatremia.|caffeine intoxication|caffeine
Severe rhabdomyolysis following massive ingestion of oolong tea: caffeine intoxication with coexisting hyponatremia.|caffeine intoxication|oolong tea
Severe rhabdomyolysis following massive ingestion of oolong tea: caffeine intoxication with coexisting hyponatremia.|rhabdomyolysis|caffeine
Severe rhabdomyolysis following massive ingestion of oolong tea: caffeine intoxication with coexisting hyponatremia.|rhabdomyolysis|oolong tea
The clinical course suggests that caffeine, which is present in oolong tea, was mainly responsible for the rhabdomyolysis as well as the delirium, although severe hyponatremia has been reported to cause rhabdomyolysis on rare occasions.|delirium|caffeine
The clinical course suggests that caffeine, which is present in oolong tea, was mainly responsible for the rhabdomyolysis as well as the delirium, although severe hyponatremia has been reported to cause rhabdomyolysis on rare occasions.|hyponatremia|caffeine
The clinical course suggests that caffeine, which is present in oolong tea, was mainly responsible for the rhabdomyolysis as well as the delirium, although severe hyponatremia has been reported to cause rhabdomyolysis on rare occasions.|rhabdomyolysis|caffeine
The clinical course suggests that caffeine, which is present in oolong tea, was mainly responsible for the rhabdomyolysis as well as the delirium, although severe hyponatremia has been reported to cause rhabdomyolysis on rare occasions.|rhabdomyolysis|caffeine
The possibility of severe rhabdomyolysis should be considered in a patient with water intoxication due to massive ingestion of caffeine-containing beverages.|rhabdomyolysis|caffeine
The possibility of severe rhabdomyolysis should be considered in a patient with water intoxication due to massive ingestion of caffeine-containing beverages.|water intoxication|caffeine
We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.|caffeine toxicity|caffeine
We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.|coexisting hyponatremia|caffeine
We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.|injured the muscle cells|caffeine
We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.|potassium depletion|caffeine
